Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,525.25,525.25,525.25,525.25,525.25,0
2015-08-07,520.25,520.25,520.25,520.25,520.25,0
2015-08-10,516.75,516.75,516.75,516.75,516.75,0
2015-08-11,516.5,516.5,516.5,516.5,516.5,0
2015-08-12,498.75,498.75,498.75,498.75,498.75,0
2015-08-13,504.0,504.0,504.0,504.0,504.0,0
2015-08-14,504.75,504.75,504.75,504.75,504.75,0
2015-08-17,496.0,496.0,496.0,496.0,496.0,0
2015-08-18,501.5,501.5,501.5,501.5,501.5,0
2015-08-19,497.5,497.5,497.5,497.5,497.5,0
2015-08-20,485.25,485.25,485.25,485.25,485.25,0
2015-08-21,476.75,476.75,476.75,476.75,476.75,0
2015-08-24,450.0,450.0,450.0,450.0,450.0,0
2015-08-25,450.25,450.25,450.25,450.25,450.25,0
2015-08-26,437.5,437.5,437.5,437.5,437.5,0
2015-08-27,452.5,452.5,452.5,452.5,452.5,0
2015-08-28,472.75,472.75,472.75,472.75,472.75,0
2015-08-31,472.75,472.75,472.75,472.75,472.75,0
2015-09-01,484.0,484.0,484.0,484.0,484.0,0
2015-09-02,470.0,470.0,470.0,470.0,470.0,0
2015-09-03,480.0,480.0,480.0,480.0,480.0,0
2015-09-04,476.5,476.5,476.5,476.5,476.5,0
2015-09-08,481.75,481.75,481.75,481.75,481.75,0
2015-09-09,490.5,490.5,490.5,490.5,490.5,0
2015-09-10,496.5,496.5,496.5,496.5,496.5,0
2015-09-11,494.75,494.75,494.75,494.75,494.75,0
2015-09-14,507.75,507.75,507.75,507.75,507.75,0
2015-09-15,497.5,497.5,497.5,497.5,497.5,0
2015-09-16,508.25,508.25,508.25,508.25,508.25,0
2015-09-17,500.25,500.25,500.25,500.25,500.25,0
2015-09-18,495.75,495.75,495.75,495.75,495.75,0
2015-09-21,507.0,507.0,507.0,507.0,507.0,0
2015-09-22,509.5,509.5,509.5,509.5,509.5,0
2015-09-23,515.25,515.25,515.25,515.25,515.25,0
2015-09-24,515.25,515.25,515.25,515.25,515.25,0
2015-09-25,533.5,533.5,533.5,533.5,533.5,0
2015-09-28,544.5,544.5,544.5,544.5,544.5,0
2015-09-29,548.25,548.25,548.25,548.25,548.25,0
2015-09-30,534.0,534.0,534.0,534.0,534.0,0
2015-10-01,546.75,546.75,546.75,546.75,546.75,0
2015-10-02,536.5,536.5,536.5,536.5,536.5,0
2015-10-05,548.25,548.25,548.25,548.25,548.25,0
2015-10-06,542.5,542.5,542.5,542.5,542.5,0
2015-10-07,536.0,536.0,536.0,536.0,536.0,0
2015-10-08,538.5,538.5,538.5,538.5,538.5,0
2015-10-09,537.25,537.25,537.25,537.25,537.25,0
2015-10-12,540.0,540.0,540.0,540.0,540.0,0
2015-10-13,555.0,555.0,555.0,555.0,555.0,0
2015-10-14,555.0,555.0,555.0,555.0,555.0,0
2015-10-15,548.75,548.75,548.75,548.75,548.75,0
2015-10-16,553.75,553.75,553.75,553.75,553.75,0
2015-10-19,540.75,540.75,540.75,540.75,540.75,0
2015-10-20,545.0,545.0,545.0,545.0,545.0,0
2015-10-21,551.5,551.5,551.5,551.5,551.5,0
2015-10-22,552.0,552.0,552.0,552.0,552.0,0
2015-10-23,550.75,550.75,550.75,550.75,550.75,0
2015-10-26,534.75,534.75,534.75,534.75,534.75,0
2015-10-27,544.5,544.5,544.5,544.5,544.5,0
2015-10-28,547.25,547.25,547.25,547.25,547.25,0
2015-10-29,551.75,551.75,551.75,551.75,551.75,0
2015-10-30,549.0,549.0,549.0,549.0,549.0,0
2015-11-02,543.0,543.0,543.0,543.0,543.0,0
2015-11-03,539.0,539.0,539.0,539.0,539.0,0
2015-11-04,554.5,554.5,554.5,554.5,554.5,0
2015-11-05,547.75,547.75,547.75,547.75,547.75,0
2015-11-06,539.75,539.75,539.75,539.75,539.75,0
2015-11-09,546.75,546.75,546.75,546.75,546.75,0
2015-11-10,546.75,546.75,546.75,546.75,546.75,0
2015-11-11,533.25,533.25,533.25,533.25,533.25,0
2015-11-12,534.0,534.0,534.0,534.0,534.0,0
2015-11-13,536.75,536.75,536.75,536.75,536.75,0
2015-11-16,523.5,523.5,523.5,523.5,523.5,0
2015-11-17,523.75,523.75,523.75,523.75,523.75,0
2015-11-18,527.0,527.0,527.0,527.0,527.0,0
2015-11-19,527.75,527.75,527.75,527.75,527.75,0
2015-11-20,532.25,532.25,532.25,532.25,532.25,0
2015-11-23,530.25,530.25,530.25,530.25,530.25,0
2015-11-24,532.5,532.5,532.5,532.5,532.5,0
2015-11-25,546.25,546.25,546.25,546.25,546.25,0
2015-11-27,558.75,558.75,558.75,558.75,558.75,0
2015-11-30,550.25,550.25,550.25,550.25,550.25,0
2015-12-01,550.5,550.5,550.5,550.5,550.5,0
2015-12-02,552.5,552.5,552.5,552.5,552.5,0
2015-12-03,556.25,556.25,556.25,556.25,556.25,0
2015-12-04,562.0,562.0,562.0,562.0,562.0,0
2016-07-08,552.0,552.0,552.0,552.0,552.0,0
2016-07-11,555.5,555.5,553.0,553.0,553.0,0
2016-07-12,546.5,546.5,546.5,546.5,546.5,0
2016-07-13,546.5,560.75,546.5,560.75,560.75,0
2016-07-14,565.0,565.0,565.0,565.0,565.0,0
2016-07-15,565.0,577.0,565.0,572.25,572.25,0
2016-07-18,572.0,572.0,572.0,572.0,572.0,0
2016-07-19,572.0,575.25,572.0,577.25,577.25,0
2016-07-20,582.75,582.75,582.75,583.25,583.25,0
2016-07-21,582.25,582.25,582.25,581.25,581.25,0
2016-07-22,571.25,571.25,571.25,571.25,571.25,0
2016-07-25,557.5,557.5,557.5,557.5,557.5,0
2016-07-26,568.5,568.5,568.5,568.5,568.5,0
2016-07-27,569.0,569.0,569.0,569.0,569.0,0
2016-07-28,568.0,568.0,568.0,568.0,568.0,0
2016-07-29,571.25,571.25,571.25,571.25,571.25,0
2016-08-01,575.5,575.5,575.5,575.5,575.5,0
2016-08-02,575.5,579.25,575.5,579.25,579.25,0
2016-08-03,593.25,593.25,593.25,593.25,593.25,0
2016-08-04,600.5,600.5,600.5,600.5,600.5,0
2016-08-05,600.5,600.5,600.5,596.75,596.75,0
2016-08-08,595.0,595.0,595.0,595.0,595.0,0
2016-08-09,606.25,606.25,606.25,606.25,606.25,0
2016-08-10,616.25,616.25,616.25,616.25,616.25,0
2016-08-11,612.25,612.25,612.25,612.25,612.25,0
2016-08-12,616.0,616.0,616.0,616.0,616.0,0
2016-08-15,631.0,631.0,631.0,631.0,631.0,0
2016-08-16,622.5,622.5,622.5,622.5,622.5,0
2016-08-17,632.25,632.25,632.25,632.25,632.25,0
2016-08-18,626.75,626.75,626.75,626.75,626.75,0
2016-08-19,625.75,625.75,625.75,625.75,625.75,0
2016-08-22,622.5,622.5,622.5,622.5,622.5,0
2016-08-23,624.5,624.5,624.5,624.5,624.5,0
2016-08-24,625.5,625.5,625.5,625.5,625.5,0
2016-08-25,624.25,624.25,624.25,624.25,624.25,0
2016-08-26,624.0,624.0,624.0,624.0,624.0,0
2016-08-29,623.0,623.0,623.0,623.0,623.0,0
2016-08-30,623.0,623.0,623.0,623.0,623.0,0
2016-08-31,623.0,623.0,623.0,622.5,622.5,0
2016-09-01,618.25,618.25,618.25,618.25,618.25,0
2016-09-02,634.25,634.25,634.25,634.25,634.25,0
2016-09-06,642.75,642.75,642.75,642.75,642.75,0
2016-09-07,639.5,639.5,639.5,639.5,639.5,0
2016-09-08,641.0,641.0,641.0,641.0,641.0,0
2016-09-09,645.5,645.5,645.5,645.5,645.5,0
2016-09-12,645.5,645.5,645.5,645.5,645.5,0
2016-09-13,634.0,634.0,634.0,634.0,634.0,0
2016-09-14,628.5,628.5,628.5,628.5,628.5,0
2016-09-15,631.5,631.5,631.5,631.5,631.5,0
2016-09-16,631.5,631.5,631.5,631.5,631.5,0
2016-09-19,628.0,628.0,628.0,628.0,628.0,0
2016-09-20,641.75,641.75,641.75,642.75,642.75,0
2016-09-21,641.0,641.0,641.0,641.0,641.0,0
2016-09-22,646.75,646.75,646.75,646.75,646.75,0
2016-09-23,646.75,646.75,646.75,646.75,646.75,0
2016-09-26,645.25,645.25,645.25,645.25,645.25,0
2016-09-27,642.75,642.75,642.75,642.75,642.75,0
2016-09-28,640.5,640.5,640.5,640.5,640.5,0
2016-09-29,641.25,641.25,641.25,641.25,641.25,0
2016-09-30,645.5,645.5,645.5,645.5,645.5,0
2016-10-03,635.75,635.75,635.75,635.75,635.75,0
2016-10-04,630.5,630.5,630.5,630.5,630.5,0
2016-10-05,619.0,619.0,619.0,619.0,619.0,0
2016-10-06,624.25,624.25,624.25,624.25,624.25,0
2016-10-07,618.5,618.5,618.5,617.5,617.5,0
2016-10-11,626.5,626.5,626.5,626.5,626.5,0
2016-10-12,630.0,630.0,630.0,630.0,630.0,0
2016-10-13,628.5,628.5,628.5,628.5,628.5,0
2016-10-14,629.0,629.0,629.0,628.5,628.5,0
2016-10-17,641.75,641.75,641.75,641.75,641.75,0
2016-10-18,636.25,636.25,636.25,636.25,636.25,0
2016-10-19,639.5,639.5,639.5,639.5,639.5,0
2016-10-20,638.75,638.75,638.75,638.75,638.75,0
2016-10-21,638.5,638.5,638.5,638.5,638.5,0
2016-10-24,674.5,674.5,674.5,644.75,644.75,0
2016-10-25,642.5,642.5,642.5,642.5,642.5,0
2016-10-26,645.25,645.25,645.25,645.25,645.25,0
2016-10-27,644.0,644.0,644.0,644.0,644.0,0
2016-10-28,643.75,643.75,643.75,643.75,643.75,0
2016-10-31,643.5,643.5,643.5,643.5,643.5,0
2016-11-01,652.0,652.0,652.0,652.0,652.0,0
2016-11-02,657.0,657.0,657.0,657.0,657.0,0
2016-11-03,662.25,662.25,662.25,662.25,662.25,0
2016-11-04,652.5,652.5,652.5,652.5,652.5,0
2016-11-07,661.5,661.5,661.5,661.5,661.5,0
2016-11-08,671.5,671.5,671.5,671.5,671.5,0
2016-11-09,671.25,671.25,671.25,671.25,671.25,0
2016-11-10,675.0,675.0,675.0,675.0,675.0,0
2016-11-14,662.5,662.5,662.5,662.5,662.5,0
2016-11-15,658.0,658.0,658.0,658.0,658.0,0
2016-11-16,661.0,661.0,661.0,661.0,661.0,0
2016-11-17,661.0,661.0,661.0,661.0,661.0,0
2016-11-18,659.0,659.0,659.0,659.0,659.0,0
2016-11-21,662.0,662.0,662.0,662.0,662.0,0
2016-11-22,662.75,662.75,662.75,662.75,662.75,0
2016-11-23,663.75,663.75,663.75,663.75,663.75,0
2016-11-25,666.5,666.5,666.5,666.5,666.5,0
2016-11-28,668.0,668.0,668.0,668.0,668.0,0
2016-11-29,667.25,667.25,667.25,667.25,667.25,0
2016-11-30,667.5,667.5,667.5,667.5,667.5,0
2016-12-01,689.25,689.25,689.25,689.25,689.25,0
2016-12-02,691.0,691.0,691.0,691.0,691.0,0
2016-12-05,703.25,703.25,703.25,703.25,703.25,0
2016-12-06,713.0,713.0,713.0,713.0,713.0,0
2016-12-07,706.75,706.75,706.75,706.75,706.75,0
2016-12-08,702.5,702.5,702.5,702.5,702.5,0
2016-12-09,696.25,696.25,696.25,696.25,696.25,0
2016-12-12,696.25,696.25,696.25,696.25,696.25,0
2016-12-13,700.75,700.75,700.75,700.75,700.75,0
2016-12-14,702.5,702.5,702.5,702.5,702.5,0
2016-12-15,708.0,708.0,708.0,708.0,708.0,0
2016-12-16,704.5,704.5,704.5,704.5,704.5,0
2016-12-19,702.25,702.25,702.25,702.25,702.25,0
2016-12-20,697.75,697.75,697.75,697.75,697.75,0
2016-12-21,699.5,699.5,699.5,699.5,699.5,0
2016-12-22,697.0,697.0,697.0,697.0,697.0,0
2016-12-23,696.0,696.0,696.0,696.0,696.0,0
2016-12-27,699.0,699.0,699.0,699.0,699.0,0
2016-12-28,699.25,699.25,699.25,699.25,699.25,0
2016-12-29,698.5,698.5,698.5,698.5,698.5,0
2016-12-30,698.5,698.5,698.5,698.5,698.5,0
2017-01-03,704.25,704.25,704.25,704.25,704.25,0
2017-01-04,698.75,698.75,698.75,698.75,698.75,0
2017-01-05,690.75,690.75,690.75,690.75,690.75,0
2017-01-06,688.75,688.75,688.75,688.75,688.75,0
2017-01-09,695.25,695.25,695.25,695.25,695.25,0
2017-01-10,690.25,690.25,690.25,690.25,690.25,0
2017-01-11,698.25,698.25,698.25,698.25,698.25,0
2017-01-12,697.0,697.0,697.0,697.0,697.0,0
2017-01-13,697.75,697.75,697.75,697.75,697.75,0
2017-01-17,701.5,701.5,701.5,701.5,701.5,0
2017-01-18,702.25,702.25,702.25,702.25,702.25,0
2017-01-19,700.0,700.0,700.0,700.0,700.0,0
2017-01-20,698.0,698.0,698.0,698.0,698.0,0
2017-01-23,697.75,697.75,697.75,697.75,697.75,0
2017-01-24,701.0,701.0,701.0,701.0,701.0,0
2017-01-25,700.0,700.0,700.0,700.0,700.0,0
2017-01-26,698.75,698.75,698.75,698.75,698.75,0
2017-01-27,698.5,698.5,698.5,698.5,698.5,0
2017-01-30,698.5,698.5,698.5,698.5,698.5,0
2017-01-31,698.0,698.0,698.0,698.0,698.0,0
2017-02-01,682.25,682.25,682.25,682.25,682.25,0
2017-02-02,692.25,692.25,692.25,692.25,692.25,20
2017-02-03,690.5,690.5,690.5,690.5,690.5,0
2017-02-06,693.25,693.25,693.25,693.25,693.25,0
2017-02-07,694.5,694.5,694.5,694.5,694.5,20
2017-02-08,696.75,696.75,696.75,696.75,696.75,0
2017-02-09,696.75,696.75,696.75,696.75,696.75,0
2017-02-10,691.5,691.5,691.5,691.5,691.5,0
