Date,Production,Mature_Area,Immature_Area,Total_Area,Yield,Trend,ONI_lag12,PRCP,TAVG,PRCP_CLIM,TAVG_CLIM,PRCP_DEV,TAVG_DEV,PRCP_DEV_3m,TAVG_DEV_3m,Month
2016-12,1473717,5001438.0,736547.0,5737985.0,0.29465865617048537,23,2.75,356.693,26.849,333.9657368421053,26.697578947368424,22.727263157894697,0.15142105263157646,5.811456140350875,0.0018771929824552558,12.0
2017-01,1276849,5110713.0,700432.0,5811145.0,0.24983774279635737,24,2.63,279.317,26.577,211.4235789473684,26.221052631578946,67.8934210526316,0.3559473684210559,21.536912280701756,0.1884561403508774,1.0
2017-02,1258539,5110713.0,700432.0,5811145.0,0.2462550724331419,25,2.28,119.417,26.239,107.99978947368422,26.368052631578948,11.417210526315785,-0.12905263157894709,34.01263157894736,0.12610526315789508,2.0
2017-03,1464021,5110713.0,700432.0,5811145.0,0.2864612041411834,26,1.71,134.51,26.886,130.4251052631579,27.087105263157895,4.084894736842102,-0.20110526315789556,27.79850877192983,0.008596491228071082,3.0
2017-04,1548026,5110713.0,700432.0,5811145.0,0.30289824531332515,27,1.05,142.417,27.756,132.293,27.949789473684213,10.123999999999995,-0.1937894736842125,8.542035087719293,-0.1746491228070184,4.0
2017-05,1654494,5110713.0,700432.0,5811145.0,0.32373056362194474,28,0.49,181.225,28.32,159.10384210526317,28.43263157894737,22.121157894736825,-0.11263157894736864,12.110017543859641,-0.16917543859649223,5.0
2017-06,1514255,5110713.0,700432.0,5811145.0,0.2962903610513836,29,0.0,143.203,28.11,170.18857894736843,28.15736842105263,-26.985578947368424,-0.047368421052631504,1.753192982456132,-0.11792982456140422,6.0
2017-07,1826828,5110713.0,700432.0,5811145.0,0.3574507118674048,30,-0.31,179.553,27.803,177.9814210526316,27.839684210526315,1.5715789473684083,-0.036684210526313876,-1.0976140350877301,-0.06556140350877133,7.0
2017-08,1810551,5110713.0,700432.0,5811145.0,0.35426583335828093,31,-0.5,214.56,27.576,181.2001052631579,27.69105263157895,33.35989473684211,-0.11505263157894774,2.6486315789473642,-0.06636842105263104,8.0
2017-09,1779918,5110713.0,700432.0,5811145.0,0.348271953443678,32,-0.58,205.535,27.736,194.26363157894738,27.634315789473685,11.271368421052614,0.10168421052631516,15.400947368421043,-0.016684210526315486,9.0
2017-10,2008838,5110713.0,700432.0,5811145.0,0.393064138017533,33,-0.64,233.626,27.712,236.39394736842104,27.58478947368421,-2.7679473684210336,0.127210526315789,13.95443859649123,0.03794736842105214,10.0
2017-11,1942847,5110713.0,700432.0,5811145.0,0.38015184965385457,34,-0.6,365.928,27.242,322.901947368421,27.264,43.02605263157898,-0.021999999999998465,17.176491228070187,0.0689649122807019,11.0
